parent_alias,alias,name,datatype,cardinality,ontology_class,parent_property,description,collection_name,required,searchable,exportable,sortorder
,observation_id,Observation ID,string,1,http://www.cidoc-crm.org/cidoc-crm/E42_Identifier,http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier,Primary identifier for the observation record.,,true,true,true,1
,observed_property,Observed property,concept,1,http://www.w3.org/ns/sosa/ObservableProperty,http://www.w3.org/ns/sosa/observedProperty,"ObservableProperty concept describing what was measured (water level, wind speed, PGA, temperature, PM2.5, head count).",ObservableProperty,false,true,true,2
,method,Method,concept,1,http://www.cidoc-crm.org/cidoc-crm/E55_Type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,"Observation method drawn from the Method collection (hydraulic, wind-field, seismic, thermal, crowd).",Method,false,true,true,3
,made_by_sensor,Made by sensor,resource-instance,1,http://www.w3.org/ns/sosa/Sensor,http://www.w3.org/ns/sosa/madeBySensor,Sensor resource that produced this observation.,,false,true,true,4
,feature_of_interest,Feature of interest,resource-instance,1,http://www.cidoc-crm.org/cidoc-crm/E53_Place,http://www.w3.org/ns/sosa/hasFeatureOfInterest,Site resource that the observation is about.,,false,true,true,5
,result_value,Result value,number,1,http://www.cidoc-crm.org/cidoc-crm/E60_Number,http://www.w3.org/ns/sosa/hasSimpleResult,Scalar result value for the observation (unit implied by observed_property).,,false,false,true,6
,result_time,Result time,date,1,http://www.cidoc-crm.org/cidoc-crm/E61_Time_Primitive,http://www.w3.org/ns/sosa/resultTime,Time at which the result became available.,,false,true,true,7
,phenomenon_span,Phenomenon time-span,semantic,1,http://www.cidoc-crm.org/cidoc-crm/E52_Time-Span,http://www.w3.org/ns/sosa/phenomenonTime,Time-span during which the observed phenomenon occurred.,,false,false,true,8
phenomenon_span,phenomenon_start,Phenomenon start,date,1,http://www.cidoc-crm.org/cidoc-crm/E61_Time_Primitive,http://www.cidoc-crm.org/cidoc-crm/P82a_begin_of_the_begin,Earliest time the observed phenomenon began.,,false,false,true,9
phenomenon_span,phenomenon_end,Phenomenon end,date,1,http://www.cidoc-crm.org/cidoc-crm/E61_Time_Primitive,http://www.cidoc-crm.org/cidoc-crm/P82b_end_of_the_end,Latest time the observed phenomenon ended.,,false,false,true,10
,intensity_band,Intensity band,concept,1,http://www.cidoc-crm.org/cidoc-crm/E55_Type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,Hazard-family-prefixed intensity band (from the IntensityBand collection).,IntensityBand,false,true,true,11
,confidence,Confidence,concept,1,http://www.cidoc-crm.org/cidoc-crm/E55_Type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,Confidence band for this observation.,ConfidenceBand,false,true,true,12
,notes,Notes,string,1,http://www.cidoc-crm.org/cidoc-crm/E62_String,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,Free-text reviewer notes.,,false,false,true,13
