parent_alias,alias,name,datatype,cardinality,ontology_class,parent_property,description,collection_name,required,searchable,exportable,sortorder
,exposure_id,Exposure ID,string,1,http://www.cidoc-crm.org/cidoc-crm/E42_Identifier,http://www.cidoc-crm.org/cidoc-crm/P48_has_preferred_identifier,Primary identifier for the exposure record.,,true,true,true,1
,about_building,About building,resource-instance,1,http://www.cidoc-crm.org/cidoc-crm/E22_Human-Made_Object,http://www.cidoc-crm.org/cidoc-crm/P67_refers_to,Building this exposure record refers to.,,false,true,true,2
,from_footprint,From footprint,resource-instance,1,http://www.w3.org/ns/prov#Entity,http://www.w3.org/ns/prov#wasDerivedFrom,HazardFootprint this exposure record was derived from.,,false,true,true,3
,severity_band,Severity band,concept,1,http://www.cidoc-crm.org/cidoc-crm/E55_Type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,Overall severity classification for this exposure.,SeverityBand,false,true,true,4
,confidence,Confidence,concept,1,http://www.cidoc-crm.org/cidoc-crm/E55_Type,http://www.cidoc-crm.org/cidoc-crm/P2_has_type,Confidence band for this exposure.,ConfidenceBand,false,true,true,5
,affected_count_dim,Affected count dimension,semantic,1,http://www.cidoc-crm.org/cidoc-crm/E54_Dimension,http://www.cidoc-crm.org/cidoc-crm/P43_has_dimension,Semantic wrapper for the affected-count dimension.,,false,false,true,6
affected_count_dim,affected_count,Affected count,number,1,http://www.cidoc-crm.org/cidoc-crm/E60_Number,http://www.cidoc-crm.org/cidoc-crm/P90_has_value,"Estimated headcount affected (people, assets, units).",,false,false,true,7
,value_amount_dim,Value amount dimension,semantic,1,http://www.cidoc-crm.org/cidoc-crm/E54_Dimension,http://www.cidoc-crm.org/cidoc-crm/P43_has_dimension,Semantic wrapper for the affected-value dimension.,,false,false,true,8
value_amount_dim,value_amount,Value amount,number,1,http://www.cidoc-crm.org/cidoc-crm/E60_Number,http://www.cidoc-crm.org/cidoc-crm/P90_has_value,Estimated monetary value affected (in the demo currency).,,false,false,true,9
,assessment_span,Assessment time-span,semantic,1,http://www.cidoc-crm.org/cidoc-crm/E52_Time-Span,http://www.cidoc-crm.org/cidoc-crm/P4_has_time-span,Semantic wrapper for the assessment timing.,,false,false,true,10
assessment_span,assessment_date,Assessment date,date,1,http://www.cidoc-crm.org/cidoc-crm/E61_Time_Primitive,http://www.cidoc-crm.org/cidoc-crm/P82a_begin_of_the_begin,Date the exposure was assessed.,,false,false,true,11
,notes,Notes,string,1,http://www.cidoc-crm.org/cidoc-crm/E62_String,http://www.cidoc-crm.org/cidoc-crm/P3_has_note,Free-text reviewer notes.,,false,false,true,12
